,Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
1,Philippines,PHL,1960,6684568805.07,NA,1.128957074,11.47515375,11.94735026,26273025
2,Philippines,PHL,1961,7256966966.23,5.616579319,1.146971086,14.02489363,12.59242831,27164617
3,Philippines,PHL,1962,4399827767.97,4.773121848,1.213457011,19.2346558,16.94768478,28081231
4,Philippines,PHL,1963,4875309866.34,7.060487423,1.281720634,16.9538218,18.61723706,29016771
5,Philippines,PHL,1964,5271404668.37,3.446982145,1.386604847,18.49113205,18.18491695,29962876
6,Philippines,PHL,1965,5784398976.98,5.265810464,1.422158817,18.95918999,19.38364947,30913933
7,Philippines,PHL,1966,6371459304.41,4.425994174,1.498955393,18.30131039,20.44778519,31867563
8,Philippines,PHL,1967,6809134235.54,5.324150188,1.592699362,20.60485833,19.96481641,32826599
9,Philippines,PHL,1968,7591603053.44,4.94541808,1.630268058,19.49053126,16.90296631,33797042
10,Philippines,PHL,1969,8408229699.14,4.656358578,1.662148118,17.77569415,14.72687678,34787588
11,Philippines,PHL,1970,6687204834.37,3.764604859,1.901189312,21.04490457,21.5764694,35804729
12,Philippines,PHL,1971,7408305735.65,5.428631369,2.308107392,20.41428811,20.45416387,36851055
13,Philippines,PHL,1972,8017468688.20,5.446791104,2.49746531,19.46930767,19.68046342,37925400
14,Philippines,PHL,1973,10082885603.07,8.920646822,2.911545865,19.88902426,24.76696564,39026082
15,Philippines,PHL,1974,13781139969.65,3.55811508,3.906234504,27.35261104,25.02111283,40149961
16,Philippines,PHL,1975,14893969287.66,5.564773624,4.170350749,27.10977304,21.01806392,41295124
17,Philippines,PHL,1976,17097563270.30,8.806630567,4.553990787,25.24860272,19.326945,42461193
18,Philippines,PHL,1977,19648106122.01,5.602055577,5.004779023,24.12565056,21.0586383,43650333
19,Philippines,PHL,1978,22706155475.30,5.172103287,5.371855839,24.93706988,20.66738815,44866273
20,Philippines,PHL,1979,27502168726.96,5.639675746,6.313721229,26.63676688,21.56086742,46113995
21,Philippines,PHL,1980,32450541843.07,5.148911294,7.462850724,28.47109116,23.57260953,47396968
22,Philippines,PHL,1981,35646416952.54,3.423269177,8.439185522,27.17155073,23.83379025,48715592
23,Philippines,PHL,1982,37140163934.43,3.619327606,9.301816039,26.13587997,20.33438742,50068493
24,Philippines,PHL,1983,33212180658.17,1.874616468,10.23472834,28.08113212,21.33972044,51455033
25,Philippines,PHL,1984,31408492876.69,-7.323682584,15.38678574,25.07316757,24.02413052,52873974
26,Philippines,PHL,1985,30734335448.99,-7.306608836,18.94161134,21.89346422,24.01557661,54323648
27,Philippines,PHL,1986,29868339080.83,3.416782806,19.15908714,22.37443072,26.32820211,55804072
28,Philippines,PHL,1987,33195933429.60,4.31163482,19.93881743,26.22135906,26.64214868,57313311
29,Philippines,PHL,1988,37885440418.68,6.752544481,22.70235131,26.93904517,28.39278162,58845205
30,Philippines,PHL,1989,42575183905.56,6.205311117,25.48179806,30.26849815,28.11201974,60391867
31,Philippines,PHL,1990,44311593755.78,3.036966294,28.58480636,33.28404056,27.51622902,61947348
32,Philippines,PHL,1991,45417561302.25,-0.578334651,34.09065698,32.58769354,29.59725515,63508459
33,Philippines,PHL,1992,52976344928.96,0.33760303,37.03984094,34.02818523,29.12976792,65075486
34,Philippines,PHL,1993,54368083953.11,2.116307179,39.52755187,39.80685771,31.35961239,66650247
35,Philippines,PHL,1994,64084460124.46,4.387623341,43.63307054,40.13386244,33.82569412,68236230
36,Philippines,PHL,1995,74119987244.50,4.678692219,46.61408022,44.18125125,36.35728306,69835715
37,Philippines,PHL,1996,82848140618.03,5.845873472,50.09899723,49.29329875,40.50665724,71446107
38,Philippines,PHL,1997,82344260570.67,5.185362276,52.89966113,59.2938354,48.956482,73064764
39,Philippines,PHL,1998,72207028767.76,-0.576718146,57.7849101,53.89801223,44.7642271,74693695
40,Philippines,PHL,1999,82995145792.93,3.081916458,61.21678423,49.4201508,45.48930694,76335812
41,Philippines,PHL,2000,81026300310.01,4.41122216,63.65145228,53.36056394,51.36929174,77991569
42,Philippines,PHL,2001,76262072467.38,2.893987062,67.05394191,52.88208873,46.02685177,79665315
43,Philippines,PHL,2002,81357605641.85,3.645903318,68.87966805,55.68807329,46.74700363,81352060
44,Philippines,PHL,2003,83908206647.93,4.970368696,70.45643154,54.69227813,47.15705508,83031954
45,Philippines,PHL,2004,91371242495.08,6.697623613,73.85892116,54.06987064,48.57264713,84678493
46,Philippines,PHL,2005,103071582125.97,4.77766782,78.67219917,51.74156612,46.13698628,86274237
47,Philippines,PHL,2006,122210716311.05,5.242960356,82.98755187,48.36277016,46.57805799,87809419
48,Philippines,PHL,2007,149359918060.00,6.616662284,85.39419087,43.3586112,43.26079882,89293490
49,Philippines,PHL,2008,174195136253.39,4.152756843,92.44813278,39.37022577,36.91204027,90751864
50,Philippines,PHL,2009,168334601260.08,1.14833222,96.34854772,33.35803081,32.23235315,92220879
51,Philippines,PHL,2010,199590775190.26,7.63226478,100,36.61619824,34.80329202,93726624
52,Philippines,PHL,2011,224143083706.78,3.659751601,104.718417,35.66707121,32.03084534,95277940
53,Philippines,PHL,2012,250092092998.14,6.683818881,107.8882057,34.08039652,30.81904723,96866642
54,Philippines,PHL,2013,271836123723.68,7.064024264,110.6746211,32.2276125,28.01767683,98481032
55,Philippines,PHL,2014,284584522898.87,6.145298786,114.6564986,32.55890722,28.91272491,100102249
56,Philippines,PHL,2015,292774099013.69,6.066548905,115.4295041,34.29428708,28.39572169,101716359
57,Philippines,PHL,2016,304889079564.14,6.875714823,116.8766424,37.40426725,28.10230447,103320222
58,Philippines,PHL,2017,313595208736.66,6.684517503,120.2113525,40.87920557,30.95144613,104918090
