Year,Quarter, HHCE 
2000,Q1,600428.50
,Q2,652947.35
,Q3,654886.36
,Q4,743546.74
2001,Q1,674222.70
,Q2,711776.99
,Q3,726831.83
,Q4,821054.45
2002,Q1,725177.49
,Q2,781357.22
,Q3,797032.84
,Q4,876877.49
2003,Q1,801176.54
,Q2,845576.35
,Q3,859684.83
,Q4,961371.63
2004,Q1,889324.28
,Q2,941246.01
,Q3,975650.74
,Q4,1112154.93
2005,Q1,1001725.97
,Q2,1075813.50
,Q3,1077432.98
,Q4,1221087.44
2006,Q1,1106499.95
,Q2,1189443.66
,Q3,1177253.35
,Q4,1326777.49
2007,Q1,1193910.27
,Q2,1283458.99
,Q3,1271515.27
,Q4,1452306.51
2008,Q1,1325317.57
,Q2,1452134.31
,Q3,1466475.40
,Q4,1647678.42
2009,Q1,1426912.18
,Q2,1531353.65
,Q3,1482900.68
,Q4,1699717.49
2010,Q1,1537552.83
,Q2,1631454.31
,Q3,1592490.05
,Q4,1836207.85
2011,Q1,1689009.12
,Q2,1816500.79
,Q3,1762602.22
,Q4,2049375.14
2012,Q1,1878447.07
,Q2,1963275.96
,Q3,1936818.75
,Q4,2246466.54
2013,Q1,2031658.27
,Q2,2111435.53
,Q3,2098484.53
,Q4,2436144.84
2014,Q1,2204907.03
,Q2,2291325.29
,Q3,2280899.18
,Q4,2635905.98
2015,Q1,2372796.73
,Q2,2468974.20
,Q3,2436184.38
,Q4,2827778.32
2016,Q1,2547012.96
,Q2,2680856.90
,Q3,2664733.34
,Q4,3086482.57
2017,Q1,2782053.11
,Q2,2923649.30
,Q3,2889159.26
,Q4,3356001.91
2018,Q1,3050982.45
,Q2,3240041.80
,Q3,3227591.51
,Q4,3731468.67
2019,Q1,3340847.06
,Q2,3499709.21
,Q3,3462628.22
,Q4,3985148.17
2020,Q1,3422379.34
,Q2,3042946.19
,Q3,3211098.28
,Q4,3802065.51
2021,Q1,3397984.97
,Q2,3395451.28
,Q3,3581734.07
,Q4,4234308.37
